Model and Mult,FinanceBench,amg,hpcg,linux_kernel,miniFE,nqueens,numenta_nab,numpy,nwchem,openfoam,openradioss,pybench,specfem3d,stockfish,tensorflow
AMD Ryzen 7 2700 Eight-Core x 1,-11.63637243025105,19.308912593502477,,,,-2.833213344056216,,5.697093486505405,,,,-7.175489713624222,,,
AMD Ryzen 7 2700X Eight-Core x 1,,19.22159626004387,,,,-2.639057329615259,,5.762051382780177,,,,,,,
AMD Ryzen 7 3700X x 1,,19.211617337567407,,-7.160069207596127,8.31164394850298,-2.639057329615259,-3.5553480614894135,6.030685260261263,,,,,,,-8.017307507688582
AMD Ryzen 7 3800X x 1,,,,,,-2.70805020110221,,5.966146739123692,,,,-6.835184586147301,,,-7.942362237674335
AMD Ryzen 7 3800XT x 1,-11.503107425366187,19.06420158209327,1.3862943611198906,-6.967909201801884,,-2.5649493574615367,-3.4657359027997265,6.059123195581797,,,,-6.741700694652055,-5.41610040220442,16.5178328525529,-7.99699040583765
AMD Ryzen 7 4700U x 1,,,,-7.731492029245684,,,-3.912023005428146,5.683579767338681,,,-5.337538079701318,-6.882437470997847,-5.823045895483019,15.555360227014658,
AMD Ryzen 7 4800U x 1,,,,,,,-4.5217885770490405,,,,,,,,-8.498825534058053
AMD Ryzen 7 5700G x 1,,,,,,-2.639057329615259,,6.171700597410915,,,,-6.598509028614516,,16.442569190255455,-7.76004068088038
AMD Ryzen 7 5700X x 1,,,,,,-2.70805020110221,,,,,,,,,
AMD Ryzen 7 5800H x 1,,,,,8.624072553043334,,,,,,,,,,
AMD Ryzen 7 5800U x 1,,,,,,,,,,,,-6.705639094860003,,,
AMD Ryzen 7 5800X x 1,-10.624541686349081,19.257952969479696,1.6094379124341003,-7.0192966537150445,8.422442854870427,-2.4849066497880004,-3.4011973816621555,6.324358962381311,,-8.441607204459642,,-6.625392368007956,-5.262690188904886,16.680855405732206,-7.503289630675082
AMD Ryzen 7 5800X3D x 1,-10.637584719425028,19.290834636674905,1.6094379124341003,-6.954638864880987,8.452761331256848,-2.5649493574615367,-3.2188758248682006,6.396929655216146,,-8.255048902752295,-4.553876891600541,-6.654152520183219,-5.056245805348308,16.61900377853208,-7.498869733976931
AMD Ryzen 7 7700 x 1,,19.737987651427773,1.9459101490553132,,8.941545475242885,,,6.714170529909472,,-7.8928255262511176,,-6.345636360828596,-4.836281906951478,16.89848697724848,
AMD Ryzen 7 7700X x 1,-10.370079117304869,19.74181308826832,1.9459101490553132,-6.703188113240863,8.934455109403913,-2.3978952727983707,,6.78332520060396,,-7.885329239273191,,-6.335054251498059,-4.795790545596741,16.98226967584959,-6.92461239604856
AMD Ryzen 7 7735HS x 1,,,,-7.206377291472252,,,,,,,,,,,
AMD Ryzen 7 7800X3D x 1,,19.793887973424546,1.9459101490553132,,8.971702399703325,,,6.665683717782408,,-7.656337166430183,,-6.448889394146858,-4.736198448394496,16.95701683907051,
AMD Ryzen 7 7840HS x 1,,,,-6.889591308354466,,,,6.472346294500901,,,-4.709530201312334,-6.3784261836515865,-5.2574953720277815,16.543400967355836,
AMD Ryzen 7 7840U x 1,,,1.791759469228055,,,,-3.2188758248682006,6.53813982376767,,,-4.927253685157205,-6.369900982828227,,,
AMD Ryzen 7 8700G x 1,,,,,,,,6.561030665896573,,-7.844240718141811,,-6.309918278226516,-4.897839799950911,16.72524383280986,
AMD Ryzen 7 8845HS x 1,,,,,,,,,,,,-6.421622267806518,-4.976733742420574,16.776951859200622,
AMD Ryzen 7 9700X x 1,,,2.0794415416798357,,,,,6.962243464266207,,-7.783640596221253,-4.23410650459726,-5.991464547107982,-4.718498871295094,16.943590530103336,
AMD Ryzen 7 9800X3D x 1,,19.859061487882027,2.0794415416798357,,,-2.3978952727983707,,6.942156705699469,,-7.594381242551817,-4.07753744390572,-6.0330862217988015,-4.499809670330265,17.14806725611401,-6.602587892189336
AMD Ryzen 7 PRO 3700 x 1,-11.54053090432943,,,,,,,,,,,,,,
AMD Ryzen 7 PRO 3700U x 1,,,,,,,,,,,,-6.966024187106113,,,
AMD Ryzen 7 PRO 4750G x 1,,,,,,-2.5649493574615367,,,,,,,,,
AMD Ryzen 7 PRO 5850U x 1,-10.947379629004004,,1.3862943611198906,-7.421177528595393,,-2.9444389791664407,,6.156978985585555,,-8.671972245203792,,-6.784457062637643,-5.666426688112432,15.827629306014742,-8.085178748074537
AMD Ryzen 7 PRO 6850U x 1,-11.00314929033981,,1.3862943611198906,,,,-3.713572066704308,6.2166061010848646,,,-5.081404364984463,-6.5998704992128365,-5.41610040220442,15.982154500054271,-8.167919362957816
AMD Ryzen 7 PRO 7840U x 1,,,1.791759469228055,,,,,6.601230118728877,,,,-6.401917196727186,,,
